,,,,,,,,,Statement (12 months),,,,,,,,,,,,,,,,,
,,,,,,,,,,Period = Jul 2021-Jun 2022,,,,,,,,,,,,,,,,
,,,,,,,,,Book = Accrual ; Tree = rm_disp_noi,,,,,,,,,,,,,,,,,
,,Jul 2021,,Aug 2021,,Sep 2021,,Oct 2021,,Nov 2021,Dec 2021,,,Jan 2022,,Feb 2022,,Mar 2022,,Apr 2022,,May 2022,,Jun 2022,,Total
Structural Building R&M,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Structural Building R&M - Roof / Gutters,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Exterior Building R&M,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Exterior Building R&M - Windows/Screens/Doors,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Interior Building R&M,,40.12,,140.47,,16.77,,"1,576.80",,296.01,,807.88,,0.00,,122.92,,561.86,,52.95,,300.74,,570.12,,"4,486.64"
Electrical R&M,,63.77,,"1,044.11",,39.73,,362.15,,600.42,,858.35,,0.00,,180.41,,269.49,,175.35,,"1,283.18",,337.78,,"4,539.18"
 Other Building R&M Supplies - Lighting,,976.71,,"1,024.98",,628.53,,"2,409.76",,"2,362.18",,"3,554.92",,"1,891.65",,"3,018.06",,"2,277.57",,"5,102.84",,"1,162.26",,"1,454.35",,"25,863.81"
Fire / Life Safety Equipment R&M,,51.31,,"6,962.61",,17.21,,"1,187.15",,"1,095.40",,891.60,,700.00,,730.50,,-84.37,,828.25,,"1,060.00",,-222.18,,"13,217.48"
Plumbing R&M,,956.29,,767.61,,76.31,,"1,054.95",,"1,743.32",,"1,985.56",,0.00,,845.43,,571.31,,462.04,,"1,484.14",,870.55,,"10,817.51"
HVAC Supplies and Repairs,,"1,870.37",,"2,935.99",,"1,443.69",,"4,270.12",,"2,101.83",,273.22,,"1,163.84",,"2,559.88",,"4,274.43",,"5,696.48",,"3,764.38",,"1,089.52",,"31,443.75"
Energy Conservation System R&M.,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Elevator / Escalator R&M 1,,"50,860.09",,"-48,167.07",,500.37,,"1,787.84",,0.00,,638.68,,0.00,,0.00,,0.00,,"2,704.17",,0.00,,0.00,,"7,323.34"
Building R&M-Eng/Maint Equipment & Supplies-3rd Party,,252.32,,262.62,,70.55,,"1,239.69",,"1,751.95",,244.22,,52.44,,162.30,,595.44,,303.04,,225.30,,448.13,,"5,608.00"
Building R&M-Eng/Maint Equipment & Supplies-CBRE (rec,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Parking Lot / Garage R&M,,0.00,,181.68,,0.00,,122.32,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,304.00
 Parking Access Gates / Garage Doors,,122.32,,450.93,,0.00,,529.47,,47.49,,181.33,,719.47,,111.00,,772.41,,70.61,,0.00,,135.00,,"3,140.03"
 Other Building R&M Supplies,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Other Building R&M - Keys / Locks,,705.66,,711.46,,0.00,,0.00,,88.78,,0.00,,395.50,,904.85,,203.65,,991.62,,0.00,,267.28,,"4,268.80"
,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
" Building R&M AfAAaEsA-Aa,-"" Other 2 (recoverable",,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential Unit R&M,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential Unit Appliance R&M 1,,400.73,,"2,084.07",,393.74,,"1,336.70",,524.57,,13.24,,96.98,,"1,735.35",,745.60,,713.00,,"1,148.87",,908.48,,"10,101.33"
 Pool Facilities,,361.91,,467.62,,0.00,,593.74,,116.26,,0.00,,0.00,,0.00,,135.02,,87.66,,810.22,,"1,721.52",,"4,293.95"
 Motorized Vehicles R&M,,0.00,,0.00,,0.00,,51.90,,0.00,,20.32,,0.00,,0.00,,78.63,,0.00,,0.00,,0.00,,150.85
 Other Common Area R&M 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Other Janitorial Service 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Janitorial Supplies 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential Unit Cleaning & Repairs,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Residential Resident Services,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Security Service Equipment R&M,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Interior Landscape Supplies and Repairs,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Exterior Landscape Supplies and Repairs,,0.00,,0.00,,0.00,,0.00,,0.00,,"3,496.48",,0.00,,0.00,,0.00,,0.00,,960.00,,-480.00,,"3,976.48"
 Pest Control Termite Bond,,0.00,,866.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,866.00
Window Washing,,427.00,,-0.49,,664.66,,426.51,,"1,091.17",,"1,807.19",,426.51,,664.17,,"1,877.00",,356.70,,426.51,,237.66,,"8,404.59"
 Sweeping / Powerwash,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Total Repairs and Maintenance,,"57,088.60",,"-30,267.41",,"2,850.82",,"16,949.10",,"11,819.38",,"14,772.99",,"5,446.39",,"11,034.87",,"12,278.04",,"17,544.71",,"12,625.60",,"6,662.65",,"138,805.74"
 Leasing & Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Expenses 1,,"29,395.27",,"-10,726.93",,"-3,300.00",,"17,741.87",,"13,564.89",,"-5,242.13",,185.00,,"1,035.40",,"2,225.00",,803.06,,739.00,,"7,140.00",,"53,560.43"
Tenant Functions / Events,,325.48,,"1,100.00",,"-2,350.00",,"4,873.32",,526.68,,0.00,,0.00,,500.00,,"-1,661.70",,402.88,,350.16,,151.56,,"4,218.38"
 Tenant Retention / Promo Costs,,40.00,,0.00,,41.84,,308.84,,41.84,,41.84,,41.84,,41.89,,83.68,,41.94,,41.89,,41.42,,767.02
,,,,,,,,,,Page 5 of 7,,,,,,,,,,,,,,,,
