,,Comprehensive Commercial Rent Roll,,,,,,,,,,,,,,,,
,,As of Date: 06/30/2022,,,,,,,,,,,,,,,,
Lease To,,Deposit,,(Y/N,,Date,,Amount,,PSF,,Amount,,Begin,,,,End
,,,,,,,,,,,,"9,669.31",,12/31/22,,,,
,,,,,,,,,,,,"2,151.57",,12/31/22,,,,
Communications,,325.90,,N,,,,,,,,855.58,,01/01/93,,,,
,,,,,,,,,,,,104.21,,01/01/22,,,,
12/31/28,,0.00,,N,,,,,,,,,,,,,,
01/31/26,,"$2.92$35.00 $0.009,497.33",,Y,,07/01/22,,"$10,019.69",,$2.99,,0.00,,01/31/26,,,,
,,,,,,07/01/23,,"$10,271.09",,$3.06,,0.00,,01/31/26,,,,
,,,,,,07/01/24,,"$10,528.07",,$3.14,,0.00,,01/31/26,,,,
,,,,,,07/01/25,,"$10,790.65",,$3.22,,29.91,,01/31/26,,,,
05/31/25,,"$2.94$35.32 $0.0035,195.44",,Y,,02/01/23,,"$25,548.15",,$3.02,,0.00,,05/31/25,,,,
,,,,,,02/01/24,,"$26,190.38",,$3.09,,0.00,,05/31/25,,,,
,,,,,,02/01/25,,"$26,846.73",,$3.17,,76.19,,05/31/25,,,,
09/30/23,,0.00,,Y,,12/01/22,,"$90,249.90",,$5.33,,,,,,,,
,,,,,,,,,,,,0.00,,09/30/23,,,,
,,,,,,,,,,,,154.04,,09/30/23,,,,
,,,,,,,,,,,,130.20,,09/30/23,,,,
09/30/23,,"32,146 $87,812.16 $2.73$32.78 $0.000.00",,Y,,12/01/22,,$2.81,,,,0.00,,09/30/23,,,,
09/30/23,,0.00,,Y,,12/01/22,,"$90,249.90",,$5.94,,,,,,,,
,,,,,,,,,,,,0.00,,09/30/23,,,,
,,,,,,,,,,,,137.94,,09/30/23,,,,
,,,,,,,,,,,,116.59,,09/30/23,,,,
,,"32,146 $87,812.16$ 2.73 $32.78 $0.00 $0.00",,,,,,,,,,,,,,,,
04/24/25,,"4,000.00",,N,,,,,,,,"7,129.56",,04/24/23,,,,
,,,,,,,,,,,,"7,414.74",,04/24/24,,,,
,,,,,,,,,,,,"7,711.33",,04/24/25,,,,
01/31/26,,"$2.92 $35.00 $0.00 16,365.33",,Y,,07/01/22,,"$17,265.43",,$2.99,,0.00,,01/31/26,,,,
,,,,,,07/01/23,,"$17,698.63",,$3.06,,0.00,,01/31/26,,,,
,,,,,,07/01/24,,"$18,141.45",,$3.14,,0.00,,01/31/26,,,,
,,,,,,07/01/25,,"$18,593.91",,$3.22,,51.55,,01/31/26,,,,
"United Parcel Service, Inc 11/01/04 -",,0.00,,N,,,,,,,,41.67,,11/01/04,,,,
Vacant,,$0.000.00,,,,,,,,,,,,,,,,
Vacant,,$0.000.00,,,,,,,,,,,,,,,,
Vacant,,$0.00 0.00,,,,,,,,,,,,,,,,
