04/02/2021 - 05/01/2021,,06/02/2021 - 07/01/2021,,,,,,
SCHEDULE,$0.00,$0.00,,,,$0.00,,
,,TAXING DISTRICT BREAKDOWN,,,,,,
Taxing Districts,,2019 Rate,,,,2019 %,Pension,2018 Tax
MISCELLANEOUS TAXES,,,,,,,,
 Metro Water Reclamation Dist of Chicago,,0.389,,,,4.58%,184.31,"1,705.86"
Parks-Museum/Aquarium Bond,,0.000,,,,0.00%,,0.00
Chicago Park District,,0.326,,,,3.84%,68.58,"1,421.55"
Miscellaneous Taxes Total,,0.715,,,,8.42%,,"3,127.41"
SCHOOL TAXES,,,,,,,,
Board of Education - TIF Transit RPM1,,0.000,,,,12.14%,,0.00
Board of Education Chicago,,3.620,,,,40.40%,,"15,301.04"
Chicago Community College District,,0.149,,,,1.75%,,633.23
School Taxes Total,,3.769,,,,54.29%,,"15,934.27"
MUNICIPALITY/TOWNSHIP TAXES,,,,,,,,
City of Chicago - TIF Transit RPM1,,0.000,,,,8.77%,,"8,525.75"
Chicago School BIdg & Imp Fund,,0.169,,,,1.99%,,585.85
Chicago Library Fund,,0.121,,,,1.42%,,478.16
City of Chicago,,1.603,,,,18.87%,"4,800.64","6,741.59"
Municipality/Township Taxes Total,,1.893,,,,31.05%,,"16,331.35"
COOK COUNTY TAXES,,,,,,,,
Cook County Forest Preserve District,,0.059,,,,0.70%,8.57,258.47
County of Cook,,0.275,,,,3.43%,432.91,"1,374.17"
Cook County Public Safety,,0.134,,,,1.58%,,529.85
Cook County Health Facilities,,0.045,,,,0.53%,,202.46
Cook County Taxes Total,,0.513,,,,6.24%,,"2,364.95"
(Do not pay these totals),,6.890,,,,100.00%,,"37,757.98"
